id_seller;id_item;count;price
0;43;21;4
0;16;30;4
0;45;18;49
0;34;2;5
0;2;23;42
0;42;26;3
0;23;6;4
0;49;15;31
0;44;2;1
0;5;26;216
0;29;5;1
0;9;6;49
0;38;23;4
0;11;2;1
0;35;17;5
0;31;11;21
0;48;11;2
0;6;20;4
0;46;13;2
0;24;24;3
0;41;25;1
1;10;1;4
1;9;19;42
1;45;18;47
1;11;22;5
1;46;27;3
1;8;21;5
1;16;27;3
1;44;27;2
1;48;25;1
2;38;2;1
2;34;21;2
2;17;13;314
2;19;17;4
2;18;25;1
2;2;25;31
2;37;13;5
2;13;27;4
2;49;26;43
2;30;25;429
2;41;27;3
2;47;11;285
2;14;20;5
2;42;28;5
2;8;17;5
2;24;23;1
2;26;5;4
2;31;16;26
2;29;4;1
2;7;5;2
2;39;2;2
2;20;23;3
2;25;3;23
2;43;23;5
2;44;11;3
2;6;6;4
2;4;5;4
2;12;11;3
2;46;18;5
2;10;18;5
2;15;10;31
2;45;24;24
2;32;7;36
2;35;20;5
2;23;23;3
2;22;16;253
2;16;29;2
3;33;28;5
3;4;15;4
3;13;3;3
3;19;9;3
3;5;9;401
3;46;6;2
3;14;2;5
3;48;2;3
3;36;30;1
3;47;19;254
3;43;28;1
3;15;10;47
3;42;21;1
3;7;3;2
3;25;4;30
3;3;18;34
3;28;5;43
3;44;1;5
3;22;1;470
3;31;24;22
3;45;4;23
3;23;7;2
3;29;13;3
3;0;13;5
3;17;11;365
3;40;11;20
3;49;25;36
3;8;25;4
3;35;12;1
3;10;26;4
3;21;9;322
3;18;24;2
4;34;26;5
4;17;26;389
4;3;21;21
4;16;19;5
4;21;2;280
4;11;14;3
4;48;20;2
4;49;30;33
4;4;29;5
4;36;10;2
4;7;26;1
4;35;4;2
4;10;21;5
4;0;28;2
4;12;15;4
4;20;26;2
4;33;25;2
4;41;17;1
4;38;9;1
4;1;3;3
4;39;19;4
4;42;30;5
4;40;21;28
4;2;25;46
4;46;10;1
4;15;11;36
4;30;2;264
4;14;29;4
4;47;6;201
4;5;27;488
4;25;5;31
4;32;24;42
5;36;4;3
5;9;29;22
5;26;17;4
5;43;4;4
5;48;12;2
5;2;16;23
5;28;27;20
5;0;19;3
5;42;23;4
5;7;28;1
5;20;13;3
5;24;19;3
5;5;21;228
5;18;29;5
5;23;15;5
5;40;11;27
5;17;21;402
5;8;19;2
5;46;11;1
5;21;23;249
5;22;11;370
5;45;15;43
5;49;25;30
5;11;14;4
5;37;28;4
5;1;18;4
5;38;8;5
5;39;27;3
5;25;4;42
5;47;28;273
5;41;27;2
6;42;28;3
6;45;27;23
6;7;8;1
6;14;26;3
6;29;23;1
6;16;24;2
6;26;6;1
6;10;8;4
6;27;3;327
6;9;14;25
6;25;27;28
6;30;4;305
6;43;22;4
6;3;19;30
6;2;28;32
6;12;5;2
6;48;3;4
6;40;24;43
6;31;1;49
6;36;10;2
6;17;4;448
6;8;7;3
6;6;29;2
6;21;6;357
6;49;29;28
6;34;6;2
6;24;3;3
6;41;11;5
6;47;18;373
6;23;20;3
6;46;12;4
6;4;16;3
6;15;26;48
6;38;18;4
6;1;10;1
6;11;6;2
6;44;30;4
6;39;10;5
6;35;16;1
6;13;15;2
6;0;11;4
6;19;11;1
6;18;11;2
6;20;2;1
6;32;30;44
6;28;8;27
6;37;25;4
6;5;13;221
6;33;15;5
6;22;27;314
7;29;7;3
7;24;29;2
7;27;21;294
7;0;8;2
7;12;12;5
7;45;5;36
7;2;21;42
7;40;20;26
7;11;18;4
7;21;24;281
7;36;4;2
7;28;16;50
7;5;16;283
7;4;28;4
7;3;11;44
7;30;22;462
7;37;18;5
7;9;24;21
7;39;5;3
7;8;21;3
7;16;10;4
7;31;9;42
7;26;25;2
7;22;14;463
7;20;17;5
7;42;21;4
7;15;4;48
7;48;2;4
7;19;14;4
7;14;15;4
7;34;27;1
7;6;3;3
7;23;1;3
7;10;18;1
7;33;26;3
7;25;9;33
7;18;28;4
7;41;21;3
7;1;25;4
7;49;16;34
7;43;11;4
7;35;3;2
7;44;16;1
7;7;17;3
7;46;18;1
7;32;1;27
7;17;22;273
8;27;3;453
8;7;2;2
8;10;13;2
8;45;14;34
8;29;2;4
8;6;29;5
8;19;29;5
8;34;12;5
8;32;6;34
8;48;17;5
8;13;30;1
8;12;23;3
8;24;11;2
8;31;17;20
8;46;8;5
8;37;6;5
8;21;22;358
8;5;13;391
8;14;4;6
8;3;15;36
8;4;23;5
8;25;21;33
8;28;30;33
8;11;8;2
8;30;19;217
9;18;30;1
9;16;8;3
9;33;20;1
9;3;30;23
9;11;3;1
9;7;22;2
9;43;7;3
9;26;17;3
9;0;25;4
9;12;24;3
9;38;12;3
9;17;29;387
10;30;30;251
10;7;8;2
10;21;14;456
10;12;1;5
10;8;20;5
10;4;4;4
10;13;2;1
10;42;10;5
10;23;23;2
11;45;30;44
11;44;23;2
11;34;30;5
11;9;3;50
11;13;21;3
11;2;1;35
11;8;2;3
11;47;9;458
11;25;15;34
11;17;8;339
11;40;2;21
11;14;12;4
11;22;8;322
11;21;22;300
11;37;9;2
11;48;20;4
11;1;1;4
11;7;22;1
11;38;21;2
11;11;2;2
11;36;1;3
11;28;20;49
11;24;27;3
11;32;11;38
11;27;30;259
11;5;3;260
11;16;28;1
11;23;22;4
11;31;20;38
11;0;20;4
11;3;29;34
11;20;20;3
11;35;8;4
11;4;30;5
11;19;17;5
11;29;2;5
11;18;5;2
11;10;28;5
11;41;27;5
11;43;23;2
11;42;24;3
11;12;14;1
11;30;12;305
11;46;2;5
11;33;6;3
11;39;6;5
11;49;7;38
12;12;11;2
12;43;13;1
12;19;18;3
12;32;19;29
12;1;1;4
12;9;14;21
12;45;22;42
12;31;7;24
12;17;24;433
12;4;21;1
12;47;5;203
12;5;16;424
12;40;11;27
12;0;2;2
12;44;2;2
12;28;16;41
12;20;30;4
12;26;26;5
12;29;20;4
12;6;4;2
12;30;24;370
12;3;27;27
12;7;25;2
12;37;2;2
12;22;2;230
